budget;company;country;director;genre;gross;name;rating;released;runtime;score;star;votes;writer;year
850000000;Twentieth Century Fox Film Corporation;USA;Doug Liman;Action;801721280;Jumper;PG-13;39492;88;61;Hayden Christensen;256451;David S. Goyer;2008
40000000;EFTI;Sweden;Tomas Alfredson;Drama;21220650;Let the Right One In;R;39794;115;79;Kåre Hedebrant;183463;John Ajvide Lindqvist;2008
200000000;Summit Entertainment;USA;Jeff Wadlow;Action;248509220;Never Back Down;PG-13;39521;110;66;Sean Faris;85496;Chris Hauty;2008
350000000;Columbia Pictures;UK;Justin Chadwick;Biography;268149570;The Other Boleyn Girl;PG-13;39507;115;67;Natalie Portman;89728;Peter Morgan;2008
300000000;Rogue Pictures;UK;Neil Marshall;Action;109554250;Doomsday;R;39521;113;60;Rhona Mitra;65516;Neil Marshall;2008
370000000;Focus Features;USA;Ethan Coen;Comedy;603553470;Burn After Reading;R;39703;96;70;Brad Pitt;264758;Joel Coen;2008
500000000;The Weinstein Company;USA;Howard McCain;Action;1606410;Outlander;R;40269;115;63;Jim Caviezel;66198;Dirk Blackman;2008
0;Universal Pictures;UK;Adam Brooks;Comedy;319738400;Definitely, Maybe;PG-13;39492;112;72;Ryan Reynolds;135220;Adam Brooks;2008
900000000;Columbia Pictures;USA;Dennis Dugan;Action;1000188370;You Don't Mess with the Zohan;PG-13;39605;113;55;Adam Sandler;166095;Adam Sandler;2008
550000000;Imagine Entertainment;USA;Clint Eastwood;Biography;357398020;Changeling;R;39752;141;78;Angelina Jolie;209863;J. Michael Straczynski;2008
200000000;Mosaic Media Group;UK;Roger Donaldson;Crime;300285920;The Bank Job;R;39514;111;73;Jason Statham;158842;Dick Clement;2008
350000000;Abandon Entertainment;Canada;John Moore;Action;406893930;Max Payne;PG-13;39738;100;54;Mark Wahlberg;112236;Beau Thorne;2008
450000000;New Line Cinema;USA;Eric Brevig;Action;1017043700;Journey to the Center of the Earth;PG;39640;93;58;Brendan Fraser;93923;Michael D. Weiss;2008
190000000;Summit Entertainment;USA;Sean Anders;Adventure;84024850;Sex Drive;R;39738;109;65;Josh Zuckerman;75976;Sean Anders;2008
400000000;Columbia Pictures;USA;Paul Weiland;Comedy;460127340;Made of Honor;PG-13;39570;101;59;Patrick Dempsey;58284;Adam Sztykiel;2008
450000000;Universal Pictures;USA;Paul W.S. Anderson;Action;363160320;Death Race;R;39682;105;64;Jason Statham;176350;Paul W.S. Anderson;2008
700000000;Warner Bros.;USA;Peyton Reed;Comedy;976909760;Yes Man;PG-13;39801;104;68;Jim Carrey;289261;Nicholas Stoller;2008
200000000;Universal Pictures;USA;Nick Moore;Comedy;197800;Wild Child;PG-13;39780;98;61;Emma Roberts;40439;Lucy Dahl;2008
1500000000;Walt Disney Animation Studios;USA;Byron Howard;Animation;1140535790;Bolt;PG;39773;96;69;John Travolta;158580;Dan Fogelman;2008
108000000;Twisted Pictures;USA;David Hackl;Horror;567467690;Saw V;R;39745;92;58;Scott Patterson;95765;Patrick Melton;2008
150000000;Fox Atomic;USA;Peter Cattaneo;Comedy;64095280;The Rocker;PG-13;39680;102;62;Rainn Wilson;33768;Maya Forbes;2008
200000000;Focus Features;USA;Gus Van Sant;Biography;318412990;Milk;R;39843;128;76;Sean Penn;145398;Dustin Lance Black;2008
700000000;Babylon;France;Mathieu Kassovitz;Action;225316980;Babylon A.D.;PG-13;39689;101;56;Vin Diesel;85627;Maurice G. Dantec;2008
350000000;Twentieth Century Fox Film Corporation;USA;Tom Vaughan;Comedy;802776460;What Happens in Vegas;PG-13;39577;99;61;Cameron Diaz;149018;Dana Fox;2008
340000000;Studio Ghibli;Japan;Hayao Miyazaki;Animation;150904000;Ponyo;G;40039;101;77;Cate Blanchett;94663;Hayao Miyazaki;2008
251000000;Lionsgate;USA;Oliver Stone;Biography;255344930;W.;PG-13;39738;129;63;Josh Brolin;42504;Stanley Weiser;2008
1050000000;Warner Bros.;USA;Roland Emmerich;Action;947842010;10,000 BC;PG-13;39514;109;51;Camilla Belle;114171;Roland Emmerich;2008
600000000;Fox 2000 Pictures;USA;David Frankel;Comedy;1431537510;Marley & Me;PG;39807;100;71;Owen Wilson;125638;Scott Frank;2008
0;Film4;Ireland;Steve McQueen;Biography;1540840;Hunger;NOT RATED;40431;96;76;Stuart Graham;56117;Enda Walsh;2008
1300000000;Twentieth Century Fox Film Corporation;UK;Baz Luhrmann;Adventure;495540020;Australia;PG-13;39778;165;66;Nicole Kidman;107593;Stuart Beattie;2008
1200000000;Warner Bros.;USA;Lana Wachowski;Action;439457660;Speed Racer;PG;39577;135;60;Emile Hirsch;61086;Lilly Wachowski;2008
0;Paramount Vantage;UK;Saul Dibb;Biography;138237410;The Duchess;PG-13;39731;110;69;Keira Knightley;66399;Jeffrey Hatcher;2008
600000000;Lionsgate;USA;Frank Miller;Action;197818790;The Spirit;PG-13;39807;103;48;Gabriel Macht;55602;Frank Miller;2008
320000000;Paramount Vantage;USA;Edward Zwick;Action;286448130;Defiance;R;39829;137;72;Daniel Craig;123415;Clayton Frohman;2008
165000000;Picturehouse;USA;Diane English;Comedy;269020750;The Women;PG-13;39703;114;49;Meg Ryan;17778;Diane English;2008
800000000;DreamWorks;USA;D.J. Caruso;Action;1011118370;Eagle Eye;PG-13;39717;118;66;Shia LaBeouf;158402;John Glenn;2008
120000000;New Line Cinema;USA;Jon Hurwitz;Adventure;380873660;Harold & Kumar Escape from Guantanamo Bay;R;39563;107;66;John Cho;119141;Jon Hurwitz;2008
210000000;Sidney Kimmel Entertainment;USA;Charlie Kaufman;Comedy;30819250;Synecdoche, New York;R;39773;124;75;Philip Seymour Hoffman;63483;Charlie Kaufman;2008
200000000;Goodspeed Productions;USA;John Patrick Shanley;Drama;334225560;Doubt;PG-13;39807;104;75;Meryl Streep;105844;John Patrick Shanley;2008
350000000;Regency Enterprises;USA;Alexandre Aja;Horror;306914390;Mirrors;R;39675;110;62;Kiefer Sutherland;91597;Alexandre Aja;2008
800000000;Twentieth Century Fox Film Corporation;USA;Scott Derrickson;Drama;793669780;The Day the Earth Stood Still;PG-13;39794;104;55;Keanu Reeves;146633;David Scarpa;2008
850000000;Blue Sky Studios;USA;Jimmy Hayward;Animation;1545294390;Horton Hears a Who!;G;39521;86;68;Jim Carrey;113151;Ken Daurio;2008
175000000;Touchstone Pictures;USA;Jon M. Chu;Drama;580177830;Step Up 2: The Streets;PG-13;39492;98;62;Robert Hoffman;71816;Toni Ann Johnson;2008
200000000;Lionsgate;USA;Jason Friedberg;Comedy;141909010;Disaster Movie;PG-13;39689;87;19;Carmen Electra;78142;Jason Friedberg;2008
110000000;Walt Disney Pictures;USA;Kenny Ortega;Comedy;905594160;High School Musical 3: Senior Year;G;39745;112;46;Zac Efron;47545;Peter Barsocchini;2008
370000000;Walden Media;USA;Jennifer Flackett;Adventure;480065030;Nim's Island;PG;39542;96;60;Jodie Foster;29611;Joseph Kwong;2008
600000000;New Line Cinema;Germany;Iain Softley;Adventure;173034240;El libro mágico;PG;39836;106;61;Brendan Fraser;64411;David Lindsay-Abaire;2008
